"danceability","energy","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"0.596","0.762","-5.509","0","0.054","0.129","0.118","0.197","0.428","121.964","217794.300"
"0.268","0.020","-26.879","0","0.048","0.994","0.734","0.127","0.396","82.541","299100.750"
"0.611","0.755","-5.758","1","0.038","0.123","0.052","0.182","0.553","119.855","213362.692"
"0.528","0.473","-10.472","1","0.042","0.455","0.422","0.125","0.252","118.301","262443.000"
"0.483","0.427","-10.790","1","0.037","0.431","0.365","0.115","0.220","120.182","291197.792"
"0.508","0.403","-10.664","1","0.036","0.596","0.133","0.139","0.266","115.091","253407.740"
"0.516","0.623","-8.098","1","0.048","0.318","0.209","0.186","0.325","125.969","241386.903"
"0.465","0.725","-6.375","1","0.049","0.108","0.161","0.210","0.456","131.269","224304.257"
"0.617","0.806","-5.155","0","0.077","0.079","0.218","0.221","0.466","128.376","217422.800"
"0.422","0.477","-8.601","1","0.035","0.353","0.197","0.119","0.211","120.258","268238.000"
"0.549","0.722","-7.417","1","0.042","0.118","0.336","0.133","0.607","119.444","260341.500"
"0.487","0.800","-6.628","0","0.054","0.080","0.060","0.163","0.458","132.685","273612.000"
"0.627","0.733","-6.140","1","0.060","0.138","0.078","0.174","0.539","121.719","226659.429"
"0.558","0.745","-6.622","1","0.035","0.017","0.100","0.173","0.312","120.738","295353.250"
"0.391","0.426","-12.394","1","0.054","0.304","0.631","0.157","0.142","123.974","319851.286"
"0.481","0.748","-5.203","1","0.051","0.148","0.012","0.140","0.417","142.566","213974.000"
"0.448","0.643","-7.683","1","0.037","0.169","0.093","0.228","0.269","118.996","268429.471"
"0.679","0.715","-5.770","1","0.052","0.200","0.081","0.182","0.447","119.320","212767.633"
"0.620","0.761","-5.554","1","0.050","0.097","0.051","0.186","0.523","120.584","222135.080"
"0.435","0.584","-8.320","0","0.050","0.199","0.335","0.139","0.260","119.685","234016.625"
"0.604","0.820","-5.093","1","0.084","0.066","0.212","0.185","0.317","133.591","235711.020"
"0.524","0.393","-10.851","1","0.034","0.647","0.088","0.142","0.364","119.749","226996.700"
"0.578","0.747","-6.045","1","0.044","0.118","0.060","0.163","0.552","120.027","232600.740"
"0.616","0.710","-6.722","1","0.042","0.262","0.224","0.165","0.496","128.665","229057.318"
"0.528","0.887","-4.381","1","0.076","0.054","0.159","0.213","0.475","127.884","223956.941"
"0.635","0.784","-5.171","0","0.082","0.113","0.095","0.189","0.395","123.119","218667.720"
"0.447","0.426","-9.877","1","0.035","0.517","0.101","0.133","0.252","119.082","257831.040"
"0.613","0.786","-5.254","1","0.051","0.069","0.016","0.179","0.555","123.717","219129.440"
"0.581","0.612","-7.233","1","0.041","0.300","0.074","0.179","0.493","122.853","233372.360"
"0.629","0.802","-4.992","1","0.095","0.072","0.190","0.231","0.404","129.296","238038.680"
